Delay Time,D_sites,Repair Rate,Repair Rate Std,Misrepair Rate,Misrepair Rate Std
2.5,10000000000.0,1.0,0.0,0.0,0.0
2.5,31622776601.683792,1.0,0.0,0.0,0.0
2.5,100000000000.0,1.0,0.0,0.0,0.0
2.5,316227766016.83795,1.0,0.0,0.0,0.0
2.5,1000000000000.0,1.0,0.0,0.0,0.0
2.5,3162277660168.3794,1.0,0.0,0.0,0.0
2.5,10000000000000.0,1.0,0.0,0.0,0.0
2.5,31622776601683.793,1.0,0.0,0.0,0.0
2.5,100000000000000.0,1.0,0.0,0.0,0.0
2.5,316227766016837.94,1.0,0.0,0.0,0.0
2.5,1000000000000000.0,1.0,0.0,0.0,0.0
2.5,3162277660168379.5,1.0,0.0,0.0,0.0
2.5,1e+16,1.0,0.0,0.0,0.0
2.5,3.162277660168379e+16,1.0,0.0,0.0,0.0
2.5,1e+17,1.0,0.0,0.0,0.0
5.0,10000000000.0,1.0,0.0,0.0,0.0
5.0,31622776601.683792,1.0,0.0,0.0,0.0
5.0,100000000000.0,1.0,0.0,0.0,0.0
5.0,316227766016.83795,1.0,0.0,0.0,0.0
5.0,1000000000000.0,1.0,0.0,0.0,0.0
5.0,3162277660168.3794,1.0,0.0,0.0,0.0
5.0,10000000000000.0,1.0,0.0,0.0,0.0
5.0,31622776601683.793,1.0,0.0,0.0,0.0
5.0,100000000000000.0,1.0,0.0,0.0,0.0
5.0,316227766016837.94,1.0,0.0,0.0,0.0
5.0,1000000000000000.0,1.0,0.0,0.0,0.0
5.0,3162277660168379.5,1.0,0.0,0.0,0.0
5.0,1e+16,1.0,0.0,0.0,0.0
5.0,3.162277660168379e+16,1.0,0.0,0.0,0.0
5.0,1e+17,1.0,0.0,0.0,0.0
10.0,10000000000.0,1.0,0.0,0.0,0.0
10.0,31622776601.683792,1.0,0.0,0.0,0.0
10.0,100000000000.0,1.0,0.0,0.0,0.0
10.0,316227766016.83795,1.0,0.0,0.0,0.0
10.0,1000000000000.0,1.0,0.0,0.0,0.0
10.0,3162277660168.3794,1.0,0.0,0.0,0.0
10.0,10000000000000.0,1.0,0.0,0.0,0.0
10.0,31622776601683.793,1.0,0.0,0.0,0.0
10.0,100000000000000.0,1.0,0.0,0.0,0.0
10.0,316227766016837.94,1.0,0.0,0.0,0.0
10.0,1000000000000000.0,1.0,0.0,0.0,0.0
10.0,3162277660168379.5,1.0,0.0,0.0,0.0
10.0,1e+16,1.0,0.0,0.0,0.0
10.0,3.162277660168379e+16,1.0,0.0,0.0,0.0
10.0,1e+17,1.0,0.0,0.0,0.0
20.0,10000000000.0,1.0,0.0,0.0,0.0
20.0,31622776601.683792,1.0,0.0,0.0,0.0
20.0,100000000000.0,1.0,0.0,0.0,0.0
20.0,316227766016.83795,1.0,0.0,0.0,0.0
20.0,1000000000000.0,1.0,0.0,0.0,0.0
20.0,3162277660168.3794,1.0,0.0,0.0,0.0
20.0,10000000000000.0,1.0,0.0,0.0,0.0
20.0,31622776601683.793,1.0,0.0,0.0,0.0
20.0,100000000000000.0,1.0,0.0,0.0,0.0
20.0,316227766016837.94,0.995,0.07053367989832943,0.0,0.0
20.0,1000000000000000.0,1.0,0.0,0.0,0.0
20.0,3162277660168379.5,0.995,0.07053367989832945,0.0,0.0
20.0,1e+16,1.0,0.0,0.0,0.0
20.0,3.162277660168379e+16,1.0,0.0,0.0,0.0
20.0,1e+17,1.0,0.0,0.0,0.0
