Delay Time,D_sites,Repair Rate,Repair Rate Std,Misrepair Rate,Misrepair Rate Std
2.5,10000000000,1,0,0,0
2.5,31622776602,1,0,0,0
2.5,1E+11,1,0,0,0
2.5,3.16228E+11,1,0,0,0
2.5,1E+12,1,0,0,0
2.5,3.16228E+12,1,0,0,0
2.5,1E+13,1,0,0,0
2.5,3.16228E+13,1,0,0,0
2.5,1E+14,1,0,0,0
2.5,3.16228E+14,1,0,0,0
2.5,1E+15,1,0,0,0
2.5,3.16228E+15,1,0,0,0
2.5,1.00E+16,1,0,0,0
7.071067812,10000000000,1,0,0,0
7.071067812,31622776602,1,0,0,0
7.071067812,1E+11,1,0,0,0
7.071067812,3.16228E+11,1,0,0,0
7.071067812,1E+12,0.998,0.044676616,0,0
7.071067812,3.16228E+12,1,0,0,0
7.071067812,1E+13,1,0,0,0
7.071067812,3.16228E+13,1,0,0,0
7.071067812,1E+14,1,0,0,0
7.071067812,3.16228E+14,1,0,0,0
7.071067812,1E+15,1,0,0,0
7.071067812,3.16228E+15,1,0,0,0
7.071067812,1.00E+16,1,0,0,0
20,10000000000,0.998,0.044676616,0,0
20,31622776602,1,0,0,0
20,1E+11,1,0,0,0
20,3.16228E+11,1,0,0,0
20,1E+12,0.998,0.044676616,0,0
20,3.16228E+12,0.998,0.044676616,0,0
20,1E+13,1,0,0,0
20,3.16228E+13,1,0,0,0
20,1E+14,1,0,0,0
20,3.16228E+14,1,0,0,0
20,1E+15,0.998,0.044676616,0,0
20,3.16228E+15,1,0,0,0
20,1.00E+16,0.998,0.044676616,0,0
56.56854249,10000000000,0.994,0.077226938,0,0
56.56854249,31622776602,0.982,0.132951119,0,0
56.56854249,1E+11,0.994,0.077226938,0,0
56.56854249,3.16228E+11,0.992,0.08908423,0,0
56.56854249,1E+12,0.994,0.077226938,0,0
56.56854249,3.16228E+12,0.996,0.063118935,0,0
56.56854249,1E+13,0.99,0.099498744,0,0
56.56854249,3.16228E+13,1,0,0,0
56.56854249,1E+14,0.996,0.063118935,0,0
56.56854249,3.16228E+14,0.99,0.099498744,0.004,0.063118935
56.56854249,1E+15,0.988,0.108885261,0.002,0.044676616
56.56854249,3.16228E+15,0.996,0.063118935,0,0
56.56854249,1.00E+16,0.994,0.077226938,0,0
160,10000000000,0.976,0.153049012,0,0
160,31622776602,0.97,0.170587221,0,0
160,1E+11,0.96,0.195959179,0,0
160,3.16228E+11,0.974,0.159135163,0,0
160,1E+12,0.972,0.164972725,0,0
160,3.16228E+12,0.984,0.125475097,0,0
160,1E+13,0.986,0.117490425,0,0
160,3.16228E+13,0.976,0.153049012,0.004,0.063118935
160,1E+14,0.95,0.217944947,0.008,0.08908423
160,3.16228E+14,0.966,0.181229137,0.004,0.063118935
160,1E+15,0.97,0.170587221,0,0
160,3.16228E+15,0.974,0.159135163,0.004,0.063118935
160,1.00E+16,0.964,0.186290096,0,0
452.54834,10000000000,0.916,0.277387815,0,0
452.54834,31622776602,0.914,0.280364049,0,0
452.54834,1E+11,0.922,0.268171587,0,0
452.54834,3.16228E+11,0.892,0.310380412,0,0
452.54834,1E+12,0.894,0.30783762,0.002,0.044676616
452.54834,3.16228E+12,0.92,0.271293199,0.002,0.044676616
452.54834,1E+13,0.9,0.3,0,0
452.54834,3.16228E+13,0.922,0.268171587,0.004,0.063118935
452.54834,1E+14,0.904,0.294591242,0.008,0.08908423
452.54834,3.16228E+14,0.914,0.280364049,0.004,0.063118935
452.54834,1E+15,0.904,0.294591242,0.002,0.044676616
452.54834,3.16228E+15,0.914,0.280364049,0,0
452.54834,1.00E+16,0.914,0.280364049,0.006,0.077226938
1280,10000000000,0.822,0.382512745,0,0
1280,31622776602,0.788,0.408724846,0,0
1280,1E+11,0.816,0.387484193,0,0
1280,3.16228E+11,0.83,0.375632799,0,0
1280,1E+12,0.802,0.398492158,0,0
1280,3.16228E+12,0.788,0.408724846,0.002,0.044676616
1280,1E+13,0.762,0.425859132,0.008,0.08908423
1280,3.16228E+13,0.812,0.39071217,0.012,0.108885261
1280,1E+14,0.794,0.404430464,0.012,0.108885261
1280,3.16228E+14,0.786,0.41012681,0.006,0.077226938
1280,1E+15,0.766,0.423372177,0.004,0.063118935
1280,3.16228E+15,0.774,0.418239166,0.006,0.077226938
1280,1.00E+16,0.78,0.414246304,0.002,0.044676616
3620.38672,10000000000,0.618,0.485876528,0,0
3620.38672,31622776602,0.646,0.478209159,0,0
3620.38672,1E+11,0.648,0.47759397,0,0
3620.38672,3.16228E+11,0.658,0.474379595,0,0
3620.38672,1E+12,0.612,0.487294572,0,0
3620.38672,3.16228E+12,0.68,0.466476152,0.01,0.099498744
3620.38672,1E+13,0.642,0.47941214,0.018,0.132951119
3620.38672,3.16228E+13,0.61,0.487749936,0.01,0.099498744
3620.38672,1E+14,0.632,0.48226134,0.014,0.117490425
3620.38672,3.16228E+14,0.646,0.478209159,0.006,0.077226938
3620.38672,1E+15,0.632,0.48226134,0.004,0.063118935
3620.38672,3.16228E+15,0.636,0.481148626,0.012,0.108885261
3620.38672,1.00E+16,0.66,0.473708771,0.008,0.08908423
10240,10000000000,0.49,0.49989999,0,0
10240,31622776602,0.47,0.499099189,0,0
10240,1E+11,0.474,0.499323542,0,0
10240,3.16228E+11,0.47,0.499099189,0,0
10240,1E+12,0.45,0.497493719,0.004,0.063118935
10240,3.16228E+12,0.496,0.499984,0.008,0.08908423
10240,1E+13,0.448,0.497288649,0.014,0.117490425
10240,3.16228E+13,0.434,0.495624858,0.012,0.108885261
10240,1E+14,0.484,0.499743934,0.008,0.08908423
10240,3.16228E+14,0.456,0.498060237,0.002,0.044676616
10240,1E+15,0.442,0.496624607,0.016,0.125475097
