,Delay Time,D,Repair Rate,Repair Rate Std
0,2.5,10000000.0,0.996,0.063118935352238
1,2.5,31622776.60168379,0.998,0.0446766158073773
2,2.5,100000000.0,0.998,0.0446766158073773
3,2.5,316227766.01683795,0.994,0.0772269383052313
4,2.5,1000000000.0,0.994,0.0772269383052313
5,2.5,3162277660.16838,0.996,0.063118935352238
6,2.5,10000000000.0,0.996,0.063118935352238
7,2.5,31622776601.683792,0.998,0.0446766158073773
8,2.5,100000000000.0,0.994,0.0772269383052313
9,2.5,316227766016.83795,0.998,0.0446766158073773
10,2.5,1000000000000.0,0.946,0.2260176984220483
11,2.5,3162277660168.3794,0.758,0.4282942913464993
12,2.5,10000000000000.0,0.49,0.4998999899979995
13,2.5,31622776601683.797,0.248,0.4318518264405049
14,2.5,100000000000000.0,0.142,0.3490501396647765
15,2.5,316227766016837.94,0.048,0.2137662274541982
16,2.5,1000000000000000.0,0.012,0.1088852607105296
17,2.5,3162277660168379.5,0.0,0.0
18,2.5,1e+16,0.004,0.063118935352238
19,7.071067811865476,10000000.0,0.99,0.0994987437106619
20,7.071067811865476,31622776.60168379,0.992,0.0890842298052803
21,7.071067811865476,100000000.0,0.992,0.0890842298052803
22,7.071067811865476,316227766.01683795,0.99,0.0994987437106619
23,7.071067811865476,1000000000.0,0.99,0.0994987437106619
24,7.071067811865476,3162277660.16838,0.988,0.1088852607105296
25,7.071067811865476,10000000000.0,0.984,0.125475097130865
26,7.071067811865476,31622776601.683792,0.992,0.0890842298052803
27,7.071067811865476,100000000000.0,0.99,0.0994987437106619
28,7.071067811865476,316227766016.83795,0.98,0.1399999999999999
29,7.071067811865476,1000000000000.0,0.866,0.3406523154185217
30,7.071067811865476,3162277660168.3794,0.604,0.489064412935556
31,7.071067811865476,10000000000000.0,0.356,0.4788152044369518
32,7.071067811865476,31622776601683.797,0.22,0.4142463035441596
33,7.071067811865476,100000000000000.0,0.084,0.2773878151613729
34,7.071067811865476,316227766016837.94,0.036,0.1862900963551202
35,7.071067811865476,1000000000000000.0,0.014,0.1174904251417961
36,7.071067811865476,3162277660168379.5,0.01,0.0994987437106619
37,7.071067811865476,1e+16,0.002,0.0446766158073773
38,20.0,10000000.0,0.988,0.1088852607105296
39,20.0,31622776.60168379,0.984,0.125475097130865
40,20.0,100000000.0,0.986,0.1174904251417961
41,20.0,316227766.01683795,0.992,0.0890842298052803
42,20.0,1000000000.0,0.98,0.1399999999999999
43,20.0,3162277660.16838,0.988,0.1088852607105296
44,20.0,10000000000.0,0.986,0.1174904251417961
45,20.0,31622776601.683792,0.982,0.132951118836962
46,20.0,100000000000.0,0.994,0.0772269383052313
47,20.0,316227766016.83795,0.95,0.2179449471770336
48,20.0,1000000000000.0,0.716,0.4509368026675134
49,20.0,3162277660168.3794,0.51,0.4998999899979995
50,20.0,10000000000000.0,0.27,0.4439594576084623
51,20.0,31622776601683.797,0.124,0.3295815528818323
52,20.0,100000000000000.0,0.09,0.2861817604250837
53,20.0,316227766016837.94,0.02,0.1399999999999999
54,20.0,1000000000000000.0,0.016,0.125475097130865
55,20.0,3162277660168379.5,0.012,0.1088852607105295
56,20.0,1e+16,0.002,0.0446766158073773
57,56.56854249492381,10000000.0,0.984,0.125475097130865
58,56.56854249492381,31622776.60168379,0.988,0.1088852607105296
59,56.56854249492381,100000000.0,0.966,0.181229136730273
60,56.56854249492381,316227766.01683795,0.99,0.099498743710662
61,56.56854249492381,1000000000.0,0.984,0.125475097130865
62,56.56854249492381,3162277660.16838,0.976,0.1530490117576719
63,56.56854249492381,10000000000.0,0.98,0.1399999999999999
64,56.56854249492381,31622776601.683792,0.962,0.19119623427254
65,56.56854249492381,100000000000.0,0.96,0.1959591794226542
66,56.56854249492381,316227766016.83795,0.854,0.3531062163145815
67,56.56854249492381,1000000000000.0,0.636,0.481148625686492
68,56.56854249492381,3162277660168.3794,0.38,0.4853864439804639
69,56.56854249492381,10000000000000.0,0.226,0.4182391660282428
70,56.56854249492381,31622776601683.797,0.098,0.2973146481423342
71,56.56854249492381,100000000000000.0,0.044,0.2050950998927083
72,56.56854249492381,316227766016837.94,0.028,0.1649727250184102
73,56.56854249492381,1000000000000000.0,0.008,0.0890842298052803
74,56.56854249492381,3162277660168379.5,0.002,0.0446766158073773
75,56.56854249492381,1e+16,0.002,0.0446766158073773
76,160.0,10000000.0,0.954,0.2094850830011531
77,160.0,31622776.60168379,0.952,0.2137662274541982
78,160.0,100000000.0,0.96,0.1959591794226542
79,160.0,316227766.01683795,0.966,0.181229136730273
80,160.0,1000000000.0,0.966,0.181229136730273
81,160.0,3162277660.16838,0.974,0.1591351626762608
82,160.0,10000000000.0,0.966,0.181229136730273
83,160.0,31622776601.683792,0.962,0.19119623427254
84,160.0,100000000000.0,0.926,0.2617708921939183
85,160.0,316227766016.83795,0.718,0.4499733325431631
86,160.0,1000000000000.0,0.5,0.5
87,160.0,3162277660168.3794,0.302,0.4591252552408764
88,160.0,10000000000000.0,0.132,0.3384907679686404
89,160.0,31622776601683.797,0.078,0.2681715868618448
90,160.0,100000000000000.0,0.038,0.19119623427254
91,160.0,316227766016837.94,0.012,0.1088852607105296
92,160.0,1000000000000000.0,0.008,0.0890842298052803
93,160.0,3162277660168379.5,0.004,0.063118935352238
94,160.0,1e+16,0.004,0.063118935352238
95,452.5483399593904,10000000.0,0.942,0.2337434491060658
96,452.5483399593904,31622776.60168379,0.954,0.2094850830011531
97,452.5483399593904,100000000.0,0.948,0.2220270253820467
98,452.5483399593904,316227766.01683795,0.97,0.1705872210923198
99,452.5483399593904,1000000000.0,0.952,0.2137662274541982
100,452.5483399593904,3162277660.16838,0.948,0.2220270253820467
101,452.5483399593904,10000000000.0,0.94,0.2374868417407583
102,452.5483399593904,31622776601.683792,0.922,0.2681715868618448
103,452.5483399593904,100000000000.0,0.838,0.368450810828257
104,452.5483399593904,316227766016.83795,0.588,0.4921950832749144
105,452.5483399593904,1000000000000.0,0.364,0.481148625686492
106,452.5483399593904,3162277660168.3794,0.192,0.3938730760029175
