r,D,Repair Rate,Repair Rate Std
0.0,1000000000.0,0.995,0.07053367989832944
0.0,3162277660.1683793,0.995,0.07053367989832944
0.0,10000000000.0,1.0,0.0
0.0,31622776601.683792,0.99,0.09949874371066199
0.0,100000000000.0,0.98,0.13999999999999999
0.0,316227766016.83795,0.995,0.07053367989832944
0.0,1000000000000.0,0.925,0.26339134382131846
0.0,3162277660168.3794,0.805,0.3962007067131506
0.0,10000000000000.0,0.455,0.4979708826829135
0.0,31622776601683.793,0.225,0.41758232721225164
0.0,100000000000000.0,0.16,0.36660605559646714
0.0,316227766016837.94,0.075,0.26339134382131846
0.0,1000000000000000.0,0.015,0.12155245781143219
0.0,3162277660168379.5,0.005,0.07053367989832944
0.0,1e+16,0.0,0.0
25.0,1000000000.0,0.98,0.13999999999999999
25.0,3162277660.1683793,0.915,0.2788816953476868
25.0,10000000000.0,0.925,0.26339134382131846
25.0,31622776601.683792,0.895,0.3065534211193866
25.0,100000000000.0,0.89,0.31288975694324034
25.0,316227766016.83795,0.835,0.37118054905934933
25.0,1000000000000.0,0.74,0.4386342439892262
25.0,3162277660168.3794,0.615,0.4865953144040744
25.0,10000000000000.0,0.39,0.4877499359302879
25.0,31622776601683.793,0.27,0.4439594576084623
25.0,100000000000000.0,0.115,0.31902194281898544
25.0,316227766016837.94,0.055,0.22798026230356
25.0,1000000000000000.0,0.005,0.07053367989832944
25.0,3162277660168379.5,0.0,0.0
25.0,1e+16,0.0,0.0
50.0,1000000000.0,0.0,0.0
50.0,3162277660.1683793,0.005,0.07053367989832944
50.0,10000000000.0,0.04,0.19595917942265428
50.0,31622776601.683792,0.055,0.22798026230356
50.0,100000000000.0,0.235,0.4239988207530771
50.0,316227766016.83795,0.34,0.4737087712930804
50.0,1000000000000.0,0.365,0.4814301610825811
50.0,3162277660168.3794,0.37,0.4828043081829324
50.0,10000000000000.0,0.28,0.44899888641287294
50.0,31622776601683.793,0.21,0.4073082370883261
50.0,100000000000000.0,0.09,0.2861817604250837
50.0,316227766016837.94,0.025,0.15612494995995993
50.0,1000000000000000.0,0.01,0.09949874371066199
50.0,3162277660168379.5,0.01,0.09949874371066199
50.0,1e+16,0.0,0.0
100.0,1000000000.0,0.0,0.0
100.0,3162277660.1683793,0.0,0.0
100.0,10000000000.0,0.0,0.0
100.0,31622776601.683792,0.0,0.0
100.0,100000000000.0,0.0,0.0
100.0,316227766016.83795,0.05,0.21794494717703364
100.0,1000000000000.0,0.14,0.34698703145794946
100.0,3162277660168.3794,0.125,0.33071891388307384
100.0,10000000000000.0,0.17,0.375632799419859
100.0,31622776601683.793,0.195,0.3962007067131506
100.0,100000000000000.0,0.09,0.2861817604250837
100.0,316227766016837.94,0.035,0.1837797594948911
100.0,1000000000000000.0,0.015,0.12155245781143219
100.0,3162277660168379.5,0.005,0.07053367989832943
100.0,1e+16,0.0,0.0
200.0,1000000000.0,0.0,0.0
200.0,3162277660.1683793,0.0,0.0
200.0,10000000000.0,0.0,0.0
200.0,31622776601.683792,0.0,0.0
200.0,100000000000.0,0.0,0.0
200.0,316227766016.83795,0.005,0.07053367989832943
200.0,1000000000000.0,0.015,0.1215524578114322
200.0,3162277660168.3794,0.05,0.21794494717703367
200.0,10000000000000.0,0.055,0.22798026230356
200.0,31622776601683.793,0.04,0.19595917942265428
200.0,100000000000000.0,0.06,0.23748684174075838
200.0,316227766016837.94,0.045,0.20730412441627882
200.0,1000000000000000.0,0.005,0.07053367989832945
200.0,3162277660168379.5,0.0,0.0
200.0,1e+16,0.01,0.09949874371066199
400.0,1000000000.0,0.0,0.0
400.0,3162277660.1683793,0.0,0.0
400.0,10000000000.0,0.0,0.0
400.0,31622776601.683792,0.0,0.0
400.0,100000000000.0,0.0,0.0
400.0,316227766016.83795,0.0,0.0
400.0,1000000000000.0,0.0,0.0
400.0,3162277660168.3794,0.005,0.07053367989832943
400.0,10000000000000.0,0.015,0.12155245781143219
400.0,31622776601683.793,0.015,0.12155245781143219
400.0,100000000000000.0,0.025,0.15612494995995993
400.0,316227766016837.94,0.02,0.13999999999999999
400.0,1000000000000000.0,0.005,0.07053367989832945
400.0,3162277660168379.5,0.01,0.09949874371066199
400.0,1e+16,0.01,0.09949874371066199
