,Delay Time,D,Repair Rate,Repair Rate Std
0,0.5,10000000.0,1.0,0.0
1,0.5,31622776.60168379,1.0,0.0
2,0.5,100000000.0,0.98,0.13999999999999999
3,0.5,316227766.01683795,1.0,0.0
4,0.5,1000000000.0,1.0,0.0
5,0.5,3162277660.1683793,1.0,0.0
6,0.5,10000000000.0,1.0,0.0
7,0.5,31622776601.683792,1.0,0.0
8,0.5,100000000000.0,1.0,0.0
9,0.5,316227766016.83795,1.0,0.0
10,0.5,1000000000000.0,0.95,0.21794494717703375
11,0.5,3162277660168.3794,0.88,0.32496153618543844
12,0.5,10000000000000.0,0.61,0.4877499359302879
13,0.5,31622776601683.793,0.25,0.4330127018922193
14,0.5,100000000000000.0,0.1,0.3
15,0.5,316227766016837.94,0.01,0.09949874371066199
16,0.5,1000000000000000.0,0.0,0.0
17,0.5,3162277660168379.5,0.0,0.0
18,0.5,1e+16,0.0,0.0
19,2.5,10000000.0,0.99,0.09949874371066199
20,2.5,31622776.60168379,1.0,0.0
21,2.5,100000000.0,1.0,0.0
22,2.5,316227766.01683795,0.98,0.13999999999999999
23,2.5,1000000000.0,0.98,0.13999999999999999
24,2.5,3162277660.1683793,0.98,0.13999999999999999
25,2.5,10000000000.0,0.97,0.17058722109231983
26,2.5,31622776601.683792,0.99,0.09949874371066199
27,2.5,100000000000.0,1.0,0.0
28,2.5,316227766016.83795,0.98,0.13999999999999999
29,2.5,1000000000000.0,0.95,0.21794494717703375
30,2.5,3162277660168.3794,0.77,0.4208325082500163
31,2.5,10000000000000.0,0.35,0.4769696007084728
32,2.5,31622776601683.793,0.16,0.36660605559646725
33,2.5,100000000000000.0,0.08,0.2712931993250107
34,2.5,316227766016837.94,0.02,0.13999999999999999
35,2.5,1000000000000000.0,0.0,0.0
36,2.5,3162277660168379.5,0.0,0.0
37,2.5,1e+16,0.0,0.0
38,25.0,10000000.0,0.99,0.09949874371066199
39,25.0,31622776.60168379,0.97,0.17058722109231983
40,25.0,100000000.0,0.97,0.1705872210923198
41,25.0,316227766.01683795,0.97,0.17058722109231983
42,25.0,1000000000.0,1.0,0.0
43,25.0,3162277660.1683793,0.96,0.19595917942265423
44,25.0,10000000000.0,1.0,0.0
45,25.0,31622776601.683792,0.98,0.13999999999999999
46,25.0,100000000000.0,1.0,0.0
47,25.0,316227766016.83795,0.96,0.19595917942265426
48,25.0,1000000000000.0,0.73,0.4439594576084623
49,25.0,3162277660168.3794,0.4,0.4898979485566356
