,D_ends,D_sites,Repair Rate,Repair Rate Std,Misrepair Rate,Misrepair Rate Std
0,279999999999999.97,279999999999999.97,0.398,0.4894854441145313,0.025,0.15612494995995996
1,279999999999999.97,497918234810898.4,0.385,0.48659531440407444,0.036,0.18629009635512025
2,279999999999999.97,885437744847146.1,0.383,0.4861182983595659,0.028,0.16497272501841023
3,279999999999999.97,1574555710532977.2,0.385,0.4865953144040744,0.016,0.125475097130865
4,279999999999999.97,2800000000000000.0,0.4,0.48989794855663565,0.013,0.11327400407860576
5,279999999999999.97,4979182348108983.0,0.37,0.4828043081829324,0.004,0.063118935352238
6,279999999999999.97,8854377448471462.0,0.398,0.4894854441145313,0.002,0.044676615807377355
7,279999999999999.97,1.5745557105329774e+16,0.408,0.49146312170904544,0.004,0.063118935352238
8,279999999999999.97,2.8e+16,0.397,0.48927599573246994,0.001,0.03160696125855822
9,497918234810898.4,279999999999999.97,0.237,0.4252422838806132,0.04,0.19595917942265426
10,497918234810898.4,497918234810898.4,0.255,0.43586121644395015,0.032,0.17600000000000002
11,497918234810898.4,885437744847146.1,0.256,0.4364218143035474,0.033,0.1786365024288149
12,497918234810898.4,1574555710532977.2,0.242,0.42829429134649927,0.028,0.16497272501841023
13,497918234810898.4,2800000000000000.0,0.259,0.43808560807221225,0.021,0.14338409953687334
14,497918234810898.4,4979182348108983.0,0.232,0.4221089906647335,0.013,0.11327400407860577
15,497918234810898.4,8854377448471462.0,0.225,0.4175823272122517,0.003,0.054690035655501276
16,497918234810898.4,1.5745557105329774e+16,0.26,0.43863424398922624,0.0,0.0
17,497918234810898.4,2.8e+16,0.23,0.4208325082500163,0.001,0.03160696125855822
18,885437744847146.1,279999999999999.97,0.165,0.37118054905934933,0.03,0.1705872210923198
19,885437744847146.1,497918234810898.4,0.148,0.35509998591945907,0.037,0.18876175460087244
20,885437744847146.1,885437744847146.1,0.155,0.36190468358395134,0.026,0.15913516267626082
21,885437744847146.1,1574555710532977.2,0.164,0.3702755730533679,0.019,0.13652472303579302
22,885437744847146.1,2800000000000000.0,0.155,0.36190468358395134,0.02,0.13999999999999999
23,885437744847146.1,4979182348108983.0,0.162,0.3684508108282569,0.012,0.1088852607105296
24,885437744847146.1,8854377448471462.0,0.158,0.36474100400146947,0.008,0.08908422980528033
25,885437744847146.1,1.5745557105329774e+16,0.15,0.3570714214271425,0.002,0.044676615807377355
26,885437744847146.1,2.8e+16,0.151,0.35804887934470614,0.003,0.054690035655501276
27,1574555710532977.2,279999999999999.97,0.106,0.3078376195334157,0.025,0.15612494995995996
28,1574555710532977.2,497918234810898.4,0.094,0.2918287168871494,0.031,0.1733176274935703
29,1574555710532977.2,885437744847146.1,0.108,0.31038041175306147,0.025,0.15612494995995996
30,1574555710532977.2,1574555710532977.2,0.112,0.3153664535108324,0.017,0.12927103310486845
31,1574555710532977.2,2800000000000000.0,0.116,0.32022492095400695,0.01,0.09949874371066199
32,1574555710532977.2,4979182348108983.0,0.119,0.3237885112229895,0.007,0.08337265738837882
33,1574555710532977.2,8854377448471462.0,0.1,0.3,0.005,0.07053367989832944
34,1574555710532977.2,1.5745557105329774e+16,0.118,0.32260812141048156,0.002,0.044676615807377355
35,1574555710532977.2,2.8e+16,0.109,0.3116392144772541,0.001,0.03160696125855822
36,2800000000000000.0,279999999999999.97,0.085,0.27888169534768686,0.01,0.09949874371066199
37,2800000000000000.0,497918234810898.4,0.09,0.2861817604250837,0.026,0.15913516267626082
38,2800000000000000.0,885437744847146.1,0.084,0.2773878151613729,0.01,0.09949874371066199
39,2800000000000000.0,1574555710532977.2,0.086,0.2803640490505157,0.012,0.1088852607105296
40,2800000000000000.0,2800000000000000.0,0.083,0.2758822212466762,0.013,0.11327400407860577
41,2800000000000000.0,4979182348108983.0,0.092,0.289025950392002,0.006,0.07722693830523131
42,2800000000000000.0,8854377448471462.0,0.085,0.27888169534768686,0.002,0.044676615807377355
43,2800000000000000.0,1.5745557105329774e+16,0.086,0.2803640490505157,0.005,0.07053367989832944
44,2800000000000000.0,2.8e+16,0.095,0.293214938227915,0.001,0.03160696125855822
45,4979182348108983.0,279999999999999.97,0.061,0.23933031567271207,0.006,0.0772269383052313
46,4979182348108983.0,497918234810898.4,0.08,0.2712931993250107,0.02,0.13999999999999999
47,4979182348108983.0,885437744847146.1,0.082,0.27436472076416824,0.009,0.09444045743218316
48,4979182348108983.0,1574555710532977.2,0.078,0.26817158686184484,0.014,0.11749042514179613
49,4979182348108983.0,2800000000000000.0,0.079,0.26973876250921003,0.008,0.08908422980528033
50,4979182348108983.0,4979182348108983.0,0.076,0.2649981132008302,0.007,0.08337265738837883
51,4979182348108983.0,8854377448471462.0,0.077,0.26659144772479104,0.008,0.08908422980528033
