Paper,Cell type,Radiation type,Beam info,Energy (MeV),Error in energy (MeV),LET(keV/um),Dose (Gy),No. of cells scored,Dicentrics per cell,Dicentrics per 100 cells,Error in dicentrics,Plot Index
Kowalska 2019,human lymphocytes,Gamma,Co-60,10,,0.2,0,200,0,0,0,0
Kowalska 2019,human lymphocytes,Gamma,,10,,0.2,1,200,0.095,9.5,2.179449472,0
Kowalska 2019,human lymphocytes,Gamma,,10,,0.2,2,300,0.387,38.7,3.591656999,0
Kowalska 2019,human lymphocytes,Gamma,,10,,0.2,3,100,0.57,57,7.549834435,0
Kowalska 2019,human lymphocytes,Gamma,,10,,0.2,4,100,1.13,113,10.63014581,0
Kowalska 2019,human lymphocytes,Gamma,,10,,0.2,5,100,1.95,195,13.96424004,0
Kowalska 2019,human lymphocytes,Proton,,150,,0.57,0,200,0,0,0,1
Kowalska 2019,human lymphocytes,Proton,,150,,0.57,1,300,0.12,12,2,1
Kowalska 2019,human lymphocytes,Proton,,150,,0.57,2,200,0.39,39,4.415880433,1
Kowalska 2019,human lymphocytes,Proton,,150,,0.57,3,100,0.73,73,8.544003745,1
Kowalska 2019,human lymphocytes,Proton,,150,,0.57,4,100,1.27,127,11.26942767,1
Kowalska 2019,human lymphocytes,Proton,,150,,0.57,5,100,2.07,207,14.38749457,1
Kowalska 2019,human lymphocytes,Proton,SOBP,37.11813219,,1.4,0,200,0,0,0,2
Kowalska 2019,human lymphocytes,Proton,SOBP,37.11813219,,1.4,1,200,0.2,20,3.16227766,2
Kowalska 2019,human lymphocytes,Proton,SOBP,37.11813219,,1.4,2,200,0.61,61,5.522680509,2
Kowalska 2019,human lymphocytes,Proton,SOBP,37.11813219,,1.4,3,100,1.06,106,10.29563014,2
Kowalska 2019,human lymphocytes,Proton,SOBP,37.11813219,,1.4,4,100,1.65,165,12.84523258,2
Kowalska 2019,human lymphocytes,Proton,SOBP,37.11813219,,1.4,5,100,2.23,223,14.93318452,2
Bettega 1981,human EUE,Proton,,31,0.3,1.83,0,565,0,0,0,3
Bettega 1981,human EUE,Proton,,31,0.3,1.83,0.5,25,0.04,4,4,3
Bettega 1981,human EUE,Proton,,31,0.3,1.83,1,171,0.08,8,2,3
Bettega 1981,human EUE,Proton,,31,0.3,1.83,1.5,77,0.13,13,4,3
Bettega 1981,human EUE,Proton,,31,0.3,1.83,2,210,0.2,20,10,3
Bettega 1981,human EUE,Proton,,31,0.3,1.83,3,122,0.46,46,8,3
Bettega 1981,human EUE,Proton,,31,0.3,1.83,5,97,0.9,90,10,3
Bettega 1981,human EUE,Proton,,12,0.5,3.99,0,255,0,0,0,4
Bettega 1981,human EUE,Proton,,12,0.5,3.99,0.5,202,0.06,6,3,4
Bettega 1981,human EUE,Proton,,12,0.5,3.99,1,110,0.14,14,4,4
Bettega 1981,human EUE,Proton,,12,0.5,3.99,1.5,219,0.2,20,5,4
Bettega 1981,human EUE,Proton,,12,0.5,3.99,2,91,0.33,33,7,4
Bettega 1981,human EUE,Proton,,12,0.5,3.99,3,137,0.7,70,10,4
Bettega 1981,human EUE,Proton,,12,0.5,3.99,5,67,1.4,140,20,4
Bettega 1981,human EUE,Proton,,8,2.5,5.82,0,345,0,0,0,5
Bettega 1981,human EUE,Proton,,8,2.5,5.82,0.5,134,0.1,10,3,5
Bettega 1981,human EUE,Proton,,8,2.5,5.82,1,116,0.25,25,5,5
Bettega 1981,human EUE,Proton,,8,2.5,5.82,1.5,163,0.52,52,7,5
Bettega 1981,human EUE,Proton,,8,2.5,5.82,2,145,0.57,57,8,5
Bettega 1981,human EUE,Proton,,8,2.5,5.82,3,218,0.7,70,30,5
Bettega 1981,human EUE,Proton,,8,2.5,5.82,5,136,2,200,20,5
Kowalska 2023,human breast carcinoma (Cal 51),Gamma,Co-60,10,,0.2,0,200,0,0,0,6
Kowalska 2023,human breast carcinoma (Cal 51),Gamma,,10,,0.2,1,100,0.16,16,4,6
Kowalska 2023,human breast carcinoma (Cal 51),Gamma,,10,,0.2,2,100,0.18,18,4.242640687,6
Kowalska 2023,human breast carcinoma (Cal 51),Gamma,,10,,0.2,3,100,0.53,53,7.280109889,6
Kowalska 2023,human breast carcinoma (Cal 51),Gamma,,10,,0.2,4,100,0.62,62,7.874007874,6
Kowalska 2023,human breast carcinoma (Cal 51),Gamma,,10,,0.2,5,100,0.68,68,8.246211251,6
Kowalska 2023,human breast carcinoma (Cal 51),Proton,,150,,0.57,0,200,0,0,0,7
Kowalska 2023,human breast carcinoma (Cal 51),Proton,,150,,0.57,0.5,200,0.06,6,1.732050808,7
Kowalska 2023,human breast carcinoma (Cal 51),Proton,,150,,0.57,0.75,100,0.1,10,3.16227766,7
Kowalska 2023,human breast carcinoma (Cal 51),Proton,,150,,0.57,1,100,0.17,17,4.123105626,7
Kowalska 2023,human breast carcinoma (Cal 51),Proton,,150,,0.57,1.5,100,0.19,19,4.358898944,7
Kowalska 2023,human breast carcinoma (Cal 51),Proton,,150,,0.57,2,100,0.21,21,4.582575695,7
Kowalska 2023,human breast carcinoma (Cal 51),Proton,,150,,0.57,3,100,0.57,57,7.549834435,7
Kowalska 2023,human breast carcinoma (Cal 51),Proton,SOBP,37.11813219,,1.4,0,200,0,0,0,8
Kowalska 2023,human breast carcinoma (Cal 51),Proton,SOBP,37.11813219,,1.4,0.5,200,0.055,5.5,1.658312395,8
Kowalska 2023,human breast carcinoma (Cal 51),Proton,SOBP,37.11813219,,1.4,0.75,100,0.11,11,3.31662479,8
Kowalska 2023,human breast carcinoma (Cal 51),Proton,SOBP,37.11813219,,1.4,1,100,0.19,19,4.358898944,8
Kowalska 2023,human breast carcinoma (Cal 51),Proton,SOBP,37.11813219,,1.4,1.5,100,0.23,23,4.795831523,8
Kowalska 2023,human breast carcinoma (Cal 51),Proton,SOBP,37.11813219,,1.4,2,100,0.28,28,5.291502622,8
Kowalska 2023,human breast carcinoma (Cal 51),Proton,SOBP,37.11813219,,1.4,3,100,0.44,44,6.633249581,8
Schmid 2014,Hamster-Human A_L,Carbon,Exp1,55,,,1.7,310,0.207,20.7,,9
Schmid 2014,Hamster-Human A_L,Carbon,Exp1,55,,,1.7,325,0.212,21.2,,9
Schmid 2014,Hamster-Human A_L,Carbon,Exp1,55,,,1.7,338,0.192,19.2,,9
Schmid 2014,Hamster-Human A_L,Carbon,Exp 2,55,,,1.7,812,0.187,18.7,,9
Schmid 2014,Hamster-Human A_L,Proton,Homogenous exp1,20,,,1.7,285,0.06,6,,10
Schmid 2014,Hamster-Human A_L,Proton,Homogenous exp1,20,,,1.7,302,0.043,4.3,,10
Schmid 2014,Hamster-Human A_L,Proton,Homogenous exp1,20,,,1.7,381,0.053,5.3,,10
Schmid 2014,Hamster-Human A_L,Proton,Homogenous exp2,20,,,1.7,578,0.048,4.8,,10
Schmid 2014,Hamster-Human A_L,Proton,Focused exp1,20,,,1.7,321,0.081,8.1,,11
Schmid 2014,Hamster-Human A_L,Proton,Focused exp1,20,,,1.7,325,0.077,7.7,,11
